ID;Reading_Time;Main_Idea;Key_Points;Relevant_Info;Global_Comprehension;MI_CAL_ERR;KP_CAL_ERR;RI_CAL_ERR;Calibration_Bias;Medium;Word_Reading_Ability;Working_Memory;Reading_Comprehension;Prior_Knowledge;Topic_Interest;Medium_Preference;Medium_Preference_Study;Gender;AGE;NATIONALITY;MYID;medium;CLASS;SCHOOL
MLR7PA;302,79;1;0;0;1;4,67;8;1;4,56;C;57;3;14;0,75;33;1;NA;1;13,83;1;120;1;7;P
UOF7PA;775,12;2,5;0;2;4,5;-0,33;7;5;3,89;C;40;2;19;2;37,5;2;NA;2;13,67;1;121;1;7;P
MIT7PA;420,4;1,5;2;6;9,5;2;2;2;2;C;60;3;18;1,13;31;1;1;2;14;1;122;1;7;P
CAS7PA;710,49;1;0;3;4;4,67;7;6;5,89;C;59;2;13;0,38;32;1;2;2;13,83;6;123;1;7;P
FOB7PA;656,31;0,5;1;5;6,5;3,33;5,5;2;3,61;C;27;4;15;1,13;32,5;2;2;1;13,67;1;124;1;7;P
EOL6PA;698,74;0,5;2;7;9,5;5,33;3;-4;1,44;C;60;3;18;1,5;34;2;1;2;14,5;7;125;1;7;P
GIS7PA;991,36;1;3;7;11;4,67;1,5;3;3,06;C;42;3;18;1,88;38;2;1;2;13,75;1;126;1;7;P
YLS6CA;590,97;0,5;2;1;3,5;4,33;2;6;4,11;C;39;0;7;0,63;24,5;2;1;1;14,33;8;127;1;7;P
MIL7PA;1004,98;1;2;4;7;2,67;2;5;3,22;C;37;2;16;1,5;37;1;1;2;13,67;1;128;1;7;P
KOB7PA;293,94;0,5;0;2;2,5;0,33;1;4;1,78;C;60;3;12;1,25;32;1;2;2;13,83;5;129;1;7;P
DLE7PA;655,34;2;2;3;7;-0,67;2;3;1,44;C;51;2;20;1;38,5;1;1;2;13,83;1;130;1;7;P
COC7PA;228,21;0,5;1;0;1,5;2,33;2,5;7;3,94;C;59;4;15;0,75;38,5;1;1;2;14,17;1;131;1;7;P
REV7PA;175,34;0,5;0;0;0,5;1,33;5;1;2,44;C;60;4;17;1;26,5;2;2;1;14;1;132;1;7;P
MAA7PA;537,36;2;1;1;4;1,33;4,5;7;4,28;C;40;2;20;1,5;29,5;3;3;2;14;1;133;1;7;P
JRT7PA;977,74;1;2;5;8;5,67;2;2;3,22;C;33;2;17;0,5;16;2;2;2;13,5;4;134;1;7;P
MAD7PA;996,54;0,5;0;1;1,5;6,33;7;0;4,44;C;42;3;16;0,63;27,5;3;1;2;13,75;1;135;1;7;P
AOE7PC;435,86;1,5;0;4;5,5;3;8;4;5;C;39;4;21;2,5;36;2;2;2;14,33;1;136;1;8;P
IAI8PC*;456,24;0,5;0;2;2,5;5,33;9;7;7,11;C;33;2;12;0,88;21,5;2;2;2;13,42;6;137;1;8;P
GAR7PC;433,69;0,5;2;3;5,5;5,33;0;3;2,78;C;60;2;17;1,38;28,5;2;1;2;13,42;1;138;1;8;P
RAU7PC*;460,49;0,5;0;0;0,5;2,33;3;2;2,44;C;52;2;4;0,13;24,5;2;1;2;14,17;1;139;1;8;P
MEM7PC;450,46;0,5;0;3;3,5;5,33;6;3;4,78;C;34;2;3;0,13;23,5;2;1;1;13,83;1;140;1;8;P
AEO8PC;447,28;1,5;0;4;5,5;3;9;3;5;C;52;2;14;1,13;35;3;1;1;13,42;1;141;1;8;P
GRM7PC*;475,19;1,5;0;2;3,5;3;5;2;3,33;C;55;2;15;0,38;21,5;2;3;1;14,17;1;142;1;8;P
RAA7PC*;440,28;0,5;0;0;0,5;3,33;4;1;2,78;C;54;2;11;1,25;31,5;2;1;2;14,08;1;143;1;8;P
AEM7PC;473,1;0,5;1;2;3,5;3,33;1,5;1;1,94;C;49;2;12;0,38;27,5;1;1;2;14,08;1;144;1;8;P
AAR7PC;487,54;0,5;0;1;1,5;3,33;6;2;3,78;C;39;2;19;0,75;27;3;2;1;13,92;1;145;1;8;P
HII7PC;476,72;0,5;1;3;4,5;4,33;0,5;4;2,94;C;60;3;17;1,25;34,5;2;1;2;13,42;1;146;1;8;P
LRI7PC*;473,03;0,5;0;3;3,5;5,33;7;4;5,44;C;30;0;9;0,75;30,5;3;3;2;14,33;1;147;1;8;P
LAI7PC*;499,59;0,5;0;0;0,5;0,33;1;1;0,78;C;53;2;13;0,25;35,5;3;1;1;14,17;1;148;1;8;P
AIR7PC;600,37;1,5;2;2;5,5;3;4;5;4;C;52;2;19;2,5;28,5;2;1;1;13,83;1;149;1;8;P
AET7PC;570,74;0,5;0;0;0,5;3,33;3;3;3,11;C;52;2;9;0,75;23;2;1;1;13,42;1;150;1;8;P
MIE7CA*;273,71;0,5;0;0;0,5;5,33;9;3;5,78;D;26;0;4;0,5;27,5;3;1;1;13,67;1;1;0;1;C
GAE8CA;619,58;0,5;0;0;0,5;5,33;5;2;4,11;D;35;2;9;0,63;29,5;2;2;1;13,75;1;2;0;1;C
MNT7CA;398,02;1,5;0;5;6,5;3;8;2;4,33;D;53;3;17;0,88;36,5;2;1;2;13,67;1;3;0;1;C
RAN7CA;711,91;0,5;0;1;1,5;5,33;7;7;6,44;D;37;3;13;1,88;39,5;2;2;2;13;1;4;0;1;C
MRI7CA;728,04;1;1;4;6;4,67;5,5;4;4,72;D;35;3;9;0,88;38;2;1;2;13,42;1;5;0;1;C
SAA6CA;349,82;0,5;0;1;1,5;6,33;2;7;5,11;D;53;3;17;0,75;19;2;2;1;14,92;1;6;0;1;C
ELF7CA;595,11;1,5;1;6;8,5;4;5,5;4;4,5;D;26;2;9;1,5;26;2;1;2;13,58;1;7;0;1;C
CAI7CA;649;1;0;3;4;4,67;7;6;5,89;D;52;2;14;1,38;33,5;3;3;2;13,67;1;8;0;1;C
CRO7CA;271,91;1;0;1;2;4,67;7;9;6,89;D;60;2;23;2;32;2;1;2;13,42;1;9;0;1;C
ELC7CA;297,98;0,5;1;0;1,5;6,33;4,5;6;5,61;D;48;5;19;1,38;36;1;1;1;13,58;1;10;0;1;C
FAA7CA;385,1;1;0;2;3;1,67;7;4;4,22;D;37;3;10;1,88;34;2;1;2;13,5;1;11;0;1;C
DIE7CA;677,85;0,5;2;2;4,5;4,33;1;3;2,78;D;56;3;12;0,88;25;1;3;1;12,92;1;12;0;1;C
POR7CA;233,84;0,5;0;0;0,5;1,33;4;4;3,11;D;29;3;11;1;32,5;3;1;2;13,5;1;13;0;1;C
VLM7DA;132,27;0,5;0;1;1,5;-0,67;1;1;0,44;D;39;0;3;0,63;28;2;2;2;13,42;1;14;0;2;O
SSR7DA;338,57;1;0;5;6;0,67;5;-2;1,22;D;58;2;19;1,75;31,5;2;1;2;13,42;1;15;0;2;O
EAI7DA*;652,86;2;2;7;11;-0,67;3;1;1,11;D;45;3;22;1,75;36;1;1;2;13,17;1;16;0;2;O
RLS7DA;490,41;0,5;0;3;3,5;3,33;6;5;4,78;D;52;2;13;0,88;26,5;2;2;2;13,58;1;17;0;2;O
CIE7DA;616,78;0,5;1;3;4,5;6,33;4,5;3;4,61;D;51;2;16;0,25;40;2;3;2;13,25;2;18;0;2;O
VLI8DA;1339,74;0,5;1;7;8,5;1,33;4,5;0;1,94;D;41;2;13;0,88;27,5;1;1;2;12,75;1;19;0;2;O
GAG7DA;718,36;0,5;1;4;5,5;1,33;5,5;-2;1,61;D;35;0;11;1,5;26,5;2;1;2;13;1;20;0;2;O
FID8DA;1021,69;0,5;0;5;5,5;4,33;7;-2;3,11;D;60;2;9;1,75;28;1;1;2;12,67;1;21;0;2;O
ELE7DA;273,86;0,5;0;3;3,5;5,33;7;5;5,78;D;40;2;13;0,88;28,5;2;3;1;13,33;1;22;0;2;O
DIE7DA;209,66;0,5;0;3;3,5;7,33;9;5;7,11;D;59;3;19;0,75;30;3;3;1;13,67;1;23;0;2;O
LRX7DA;308,57;0,5;1;1;2,5;4,33;5,5;5;4,94;D;55;2;15;0,88;20,5;1;1;1;14;1;24;0;2;O
LOT7DA;158,04;0,5;3;0;3,5;4,33;-1,5;6;2,94;D;51;2;16;0,5;20;3;NA;1;13,08;1;25;0;2;O
POO7DA;736,08;0,5;3;5;8,5;6,33;0,5;3;3,28;D;48;3;12;1;29,5;3;3;2;13;1;26;0;2;O
FER7DA;165,94;1;0;4;5;3,67;7;4;4,89;D;54;3;15;1,75;35,5;2;1;2;13,5;1;27;0;2;O
DAE7DA;535,2;0,5;2;4;6,5;5,33;2;3;3,44;D;52;3;17;0,88;26,5;3;3;2;13,25;1;28;0;2;O
SEL7DA;726,28;1,5;0;5;6,5;3;7;3;4,33;D;40;3;11;1,25;25;3;3;2;13;1;29;0;2;O
ERI7DA;513,69;0,5;2;5;7,5;6,33;4;5;5,11;D;57;5;18;0,63;23,5;2;1;2;13,33;1;30;0;2;O
MRA7DA;464,77;0,5;1;3;4,5;5,33;5,5;6;5,61;D;57;4;15;1;35,5;1;1;2;13,5;1;31;0;2;O
LIE7DB;861,66;1,5;0;4;5,5;1;8;-1;2,67;D;56;2;15;1,25;33;2;1;2;13,58;4;32;0;3;S
FAC7DB;475,92;1;2;8;11;6,67;3;0;3,22;D;60;2;17;0,75;29;2;1;1;12,92;1;33;0;3;S
ELC8DB;718,28;0,5;0;4;4,5;4,33;4;-2;2,11;D;43;3;15;1,63;32;3;3;2;12,83;1;34;0;3;S
MAA8DB;144,45;0,5;0;2;2,5;5,33;8;5;6,11;D;50;3;20;2;36;1;1;2;12,92;1;35;0;3;S
MDA7DB;696,6;1;1;6;8;3,67;5,5;1;3,39;D;45;3;17;1,5;30;1;1;1;13,25;1;36;0;3;S
CAM7DB;324,8;0,5;0;3;3,5;8,33;4;-1;3,78;D;36;2;16;1;33,5;3;1;1;13,08;1;37;0;3;S
RIM7DB*;295,52;0,5;0;0;0,5;5,33;7;5;5,78;D;42;2;14;2;22;3;3;1;13,58;1;38;0;3;S
ALE7DB;358,88;0,5;0;4;4,5;6,33;6;5;5,78;D;54;3;11;1;31,5;2;1;2;13,25;3;39;0;3;S
RAV7DB;265,81;0,5;0;2;2,5;5,33;7;5;5,78;D;47;3;12;0,38;17;2;1;1;13,08;1;40;0;3;S
RRR7DB;381,09;0,5;0;4;4,5;5,33;8;3;5,44;D;45;3;19;1,13;27,5;3;1;2;13;1;41;0;3;S
COA7DB;306,36;0,5;1;0;1,5;7,33;6,5;10;7,94;D;24;3;10;1,75;21,5;2;2;1;13,17;1;42;0;3;S
PAR7DB;417,54;0,5;0;5;5,5;5,33;6;5;5,44;D;51;4;19;0,88;35,5;3;3;2;13,75;1;43;0;3;S
MRM7DB;373,22;0,5;0;2;2,5;5,33;7;7;6,44;D;45;2;14;0,88;27,5;3;1;1;13,33;1;44;0;3;S
GAE7DB;610,43;1;0;5;6;4,67;8;4;5,56;D;39;3;20;2;35,5;2;1;2;13,58;1;45;0;3;S
