"ID"	"Reading_Time"	"Main_Idea"	"Key_Points"	"Relevant_Info"	"Global_Comprehension"	"MI_CAL_ERR"	"KP_CAL_ERR"	"RI_CAL_ERR"	"Calibration_Bias"	"Medium"	"Word_Reading_Ability"	"Working_Memory"	"Reading_Comprehension"	"Prior_Knowledge"	"Topic_Interest"	"Medium_Preference"	"Medium_Preference_Study"	"Gender"	"AGE"	"NATIONALITY"	"MYID"	"medium"	"CLASS"	"SCHOOL"	"Reading_Comprehension_levels"
"MRM7DB"	429.83	0.5	1	1	2.5	5.33	4.5	7	5.61	"Paper"	45	2	14	0.88	27.5	3	1	"Boys"	13.33	1	44	1	3	"S"	"Intermediate"
"GAE7DB"	552.54	1	0	1	2	4.67	8	7	6.56	"Paper"	39	3	20	2	35.5	2	1	"Girls"	13.58	1	45	1	3	"S"	"High"
"AIC7DB"	348.36	0.5	0	2	2.5	0.33	1	0	0.44	"Paper"	58	2	19	1.13	20	2	2	"Boys"	13.25	1	46	1	3	"S"	"High"
"GAC7DB"	292.2	0.5	0	5	5.5	3.33	6	1	3.44	"Paper"	48	2	21	0.75	21	1	1	"Girls"	13.75	1	47	1	3	"S"	"High"
"SIC7DB"	364.81	0.5	2	6	8.5	5.33	2	2	3.11	"Paper"	59	3	18	1.38	32	2	1	"Boys"	13.58	1	48	1	3	"S"	"Intermediate"
"LAK7DB"	486.43	1	0	5	6	3.67	10	5	6.22	"Paper"	26	3	16	0.75	34.5	2	1	"Girls"	13.08	1	49	1	3	"S"	"Intermediate"
"MIE7DB"	438.97	1	1	2	4	2.67	4.5	4	3.72	"Paper"	40	2	11	0.5	23	1	1	"Boys"	13.25	1	50	1	3	"S"	"Low"
"AIN6DB*"	330.51	0.5	0	3	3.5	1.33	3	-1	1.11	"Paper"	48	2	14	0.75	20.5	2	3	"Girls"	14.75	3	51	1	3	"S"	"Intermediate"
"ANR7DB"	326.19	0.5	0	4	4.5	3.33	4	0	2.44	"Paper"	59	3	13	1.13	34.5	2	1	"Girls"	13.33	1	52	1	3	"S"	"Intermediate"
"DIN7DB"	449.41	0.5	0	0	0.5	1.33	5	1	2.44	"Paper"	33	2	12	0.63	24.5	1	2	"Girls"	13	1	53	1	3	"S"	"Low"
"FAE7DB"	267.97	0.5	0	5	5.5	8.33	6	-1	4.44	"Paper"	59	5	17	0.5	20.5	2	1	"Boys"	13.08	1	54	1	3	"S"	"Intermediate"
"AAT7DC"	924.66	1	2	4	7	4.67	4	4	4.22	"Paper"	59	2	20	1.25	38.5	2	1	"Girls"	13.67	1	55	1	4	"S"	"High"
"AAR7DC"	539.69	0.5	0	0	0.5	5.33	6	1	4.11	"Paper"	38	2	17	1.25	30.5	2	2	"Boys"	13.33	1	56	1	4	"S"	"Intermediate"
"AAI8DC"	948.19	0.5	1	4	5.5	2.33	2.5	-3	0.61	"Paper"	59	3	14	0.88	39	1	1	"Girls"	12.83	1	57	1	4	"S"	"Intermediate"
"FAB7DC"	489.27	1	0	5	6	3.67	6	-1	2.89	"Paper"	45	2	20	1.75	35	2	1	"Boys"	13.75	1	58	1	4	"S"	"High"
"DAE7DC"	629.06	0.5	0	7	7.5	6.33	8	2	5.44	"Paper"	46	3	16	1	32.5	2	1	"Girls"	13.17	1	59	1	4	"S"	"Intermediate"
"SIR7DC"	896.94	0.5	2	7	9.5	8.33	4	2	4.78	"Paper"	49	3	19	2	32.5	2	1	"Girls"	13.17	1	60	1	4	"S"	"High"
"DNT7DC"	613.54	0.5	1	7	8.5	5.33	4.5	1	3.61	"Paper"	54	3	18	1.5	33	2	1	"Girls"	13.5	1	61	1	4	"S"	"Intermediate"
"NAT7DC"	918.27	1	0	5	6	-2.33	9	2	2.89	"Paper"	42	2	14	0.63	35.5	1	1	"Boys"	13.75	1	62	1	4	"S"	"Intermediate"
"SAU7DC*"	882.35	1.5	0	5	6.5	3	7	-3	2.33	"Paper"	35	2	14	0.88	33.5	1	1	"Girls"	13.33	1	63	1	4	"S"	"Intermediate"
"NRT7DC"	872.54	1.5	0	7	8.5	4	5	3	4	"Paper"	60	2	19	0.88	29.5	2	1	"Girls"	12.5	1	64	1	4	"S"	"High"
"NAY7DC*"	834.37	0	0	1	1	9	0	9	6	"Paper"	31	2	14	2	36.5	2	2	"Boys"	13.75	5	65	1	4	"S"	"Intermediate"
"NIO7DC"	879.84	1.5	2	5	8.5	3	1	5	3	"Paper"	60	3	17	1.75	40	2	1	"Girls"	13.58	1	66	1	4	"S"	"Intermediate"
"CNA7DC"	794.52	0.5	1	4	5.5	3.33	4.5	4	3.94	"Paper"	30	3	18	1	33.5	2	2	"Boys"	13.75	1	67	1	4	"S"	"Intermediate"
"GIU7DC"	814.67	0.5	0	1	1.5	6.33	9	8	7.78	"Paper"	46	2	12	1	34	2	1	"Boys"	13.42	6	68	1	4	"S"	"Low"
"GAU7DC"	459.83	0.5	1	3	4.5	4.33	4.5	5	4.61	"Paper"	59	3	17	0.75	31.5	1	1	"Girls"	13.08	1	69	1	4	"S"	"Intermediate"
"MAR7DC*"	621.61	0.5	1	3	4.5	7.33	5.5	5	5.94	"Paper"	26	2	10	1.25	35.5	3	1	"Boys"	13.42	1	70	1	4	"S"	"Low"
"DAU7DC"	424.03	1	0	1	2	5.67	10	9	8.22	"Paper"	42	0	2	0.63	25.5	2	2	"Girls"	13.25	1	71	1	4	"S"	"Low"
"GET7DC"	757.3	2	0	5	7	1.33	9	2	4.11	"Paper"	46	2	12	0.38	27.5	1	1	"Girls"	12.92	1	72	1	4	"S"	"Low"
"FOD8DC"	777.08	2.5	0	4	6.5	-4.33	4	-1	-0.44	"Paper"	50	3	19	1.13	36.5	2	3	"Girls"	12.92	1	73	1	4	"S"	"High"
"DNR7DC"	368.06	1.5	0	4	5.5	1	2	6	3	"Paper"	48	2	14	0.75	36	2	1	"Girls"	13.5	1	74	1	4	"S"	"Intermediate"
"FRO7DC"	866.8	1.5	3	6	10.5	3	-0.5	1	1.17	"Paper"	52	5	21	1.75	32	3	1	"Boys"	13.67	1	75	1	4	"S"	"High"
"AIU7DD"	1134.88	1	0	4	5	4.67	7	4	5.22	"Paper"	28	0	18	2	38	3	1	"Girls"	13.75	1	76	1	5	"S"	"Intermediate"
"GGJ6DD"	1214.6	1	0	3	4	6.67	9	6	7.22	"Paper"	57	0	12	1.13	26	3	1	"Boys"	14.08	3	77	1	5	"S"	"Low"
"SEM7DD"	1120.77	1	3	1	5	2.67	-2.5	5	1.72	"Paper"	36	3	16	1.75	32.5	3	1	"Girls"	13.17	1	78	1	5	"S"	"Intermediate"
"GIL7DD"	542	0.5	1	5	6.5	4.33	4.5	2	3.61	"Paper"	43	3	19	1.5	35.5	2	1	"Boys"	13.17	1	79	1	5	"S"	"High"
"FRA7DD"	704.28	1.5	1	4	6.5	4	6.5	4	4.83	"Paper"	48	2	17	1.88	37.5	1	1	"Girls"	13.83	5	80	1	5	"S"	"Intermediate"
"PEI7DD*"	512.57	1.5	0	0	1.5	2	7	1	3.33	"Paper"	15	0	18	1.25	35	3	3	"Boys"	13.42	1	81	1	5	"S"	"Intermediate"
"SAN7DD*"	959.53	0.5	0	1	1.5	3.33	7	6	5.44	"Paper"	22	0	7	2.38	31.5	1	3	"Girls"	13.08	1	82	1	5	"S"	"Low"
"MOD6DD"	705.36	0.5	0	0	0.5	4.33	1	8	4.44	"Paper"	58	2	7	1.13	34.5	3	3	"Boys"	14.92	5	83	1	5	"S"	"Low"
"SNE7DD"	754.4	1	0	6	7	2.67	7	2	3.89	"Paper"	52	2	17	2	36	3	1	"Girls"	13.17	1	84	1	5	"S"	"Intermediate"
"ANF7DD"	425.03	0.5	0	2	2.5	4.33	4	5	4.44	"Paper"	54	1	13	1.38	37.5	3	1	"Girls"	13.33	5	85	1	5	"S"	"Intermediate"
"SLC7DD"	968.79	2	1	2	5	2.33	6.5	6	4.94	"Paper"	47	2	16	1.25	34.5	2	1	"Boys"	13.58	1	86	1	5	"S"	"Intermediate"
"MAE7DD"	509.35	0.5	0	3	3.5	7.33	7	5	6.44	"Paper"	53	2	16	1.5	29.5	2	1	"Girls"	13.75	1	87	1	5	"S"	"Intermediate"
"DAB7DD"	531.59	0.5	0	1	1.5	7.33	8	6	7.11	"Paper"	37	2	15	0.5	33.5	1	1	"Boys"	12.92	1	88	1	5	"S"	"Intermediate"
"EAM7DD"	682.12	1.5	0	6	7.5	4	8	3	5	"Paper"	48	4	18	1.25	36	2	1	"Girls"	13	1	89	1	5	"S"	"Intermediate"
"AOL7DD"	964.56	1	2	4	7	4.67	3	2	3.22	"Paper"	60	4	20	2.25	31.5	2	1	"Boys"	12.92	1	90	1	5	"S"	"High"
